[info]   /forceset/vasmed_l/activation. bounds: [0.01, 1]
[info]   /jointset/joint_segment_10/joint_segment_10_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/back/lumbar_bending/value. bounds: [-1.5708, 1.5708]
[info]   /jointset/joint_segment_15/joint_segment_15_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/ankle_l/ankle_angle_l/speed. bounds: [-50, 50]
[info]   /jointset/ankle_l/ankle_angle_l/value. bounds: [-0.698132, 0.523599]
[info]   /jointset/patellofemoral_l/knee_angle_l_beta/speed. bounds: [-50, 50]
[info]   /jointset/patellofemoral_l/knee_angle_l_beta/value. bounds: [-99999.9, 99999.9]
[info]   /jointset/walker_knee_l/knee_angle_l/speed. bounds: [-50, 50]
[info]   /jointset/acromial_r/arm_add_r/speed. bounds: [-50, 50]
[info]   /jointset/walker_knee_l/knee_angle_l/value. bounds: [0, 2.0944]
[info]   /jointset/hip_l/hip_rotation_l/value. bounds: [-0.698132, 0.698132]
[info]   /jointset/hip_l/hip_adduction_l/speed. bounds: [-50, 50]
[info]   /jointset/acromial_l/arm_add_l/speed. bounds: [-50, 50]
[info]   /jointset/hip_l/hip_adduction_l/value. bounds: [-0.872665, 0.523599]
[info]   /jointset/hip_l/hip_flexion_l/speed. bounds: [-50, 50]
[info]   /jointset/hip_l/hip_flexion_l/value. bounds: [-0.523599, 2.0944]
[info]   /jointset/patellofemoral_r/knee_angle_r_beta/value. bounds: [-99999.9, 99999.9]
[info]   /jointset/walker_knee_r/knee_angle_r/speed. bounds: [-50, 50]
[info]   /forceset/recfem_r/activation. bounds: [0.01, 1]
[info]   /jointset/walker_knee_r/knee_angle_r/value. bounds: [0, 2.0944]
[info]   /jointset/hip_r/hip_rotation_r/speed. bounds: [-50, 50]
[info]   /jointset/acromial_r/arm_flex_r/value. bounds: [-1.5708, 1.5708]
[info]   /jointset/hip_r/hip_rotation_r/value. bounds: [-0.698132, 0.698132]
[info]   /jointset/hip_r/hip_adduction_r/speed. bounds: [-50, 50]
[info]   /jointset/hip_r/hip_flexion_r/speed. bounds: [-50, 50]
[info]   /jointset/joint_segment_12/joint_segment_12_coord_0/value. bounds: [-10, 10]
[info]   /jointset/hip_r/hip_flexion_r/value. bounds: [-0.523599, 2.0944]
[info]   /jointset/joint_segment_5/joint_segment_5_coord_0/value. bounds: [-10, 10]
[info]   /jointset/ground_pelvis/pelvis_tz/speed. bounds: [-50, 50]
[info]   /jointset/ground_pelvis/pelvis_ty/speed. bounds: [-50, 50]
[info]   /jointset/hip_r/hip_adduction_r/value. bounds: [-0.872665, 0.523599]
[info]   /jointset/ground_pelvis/pelvis_ty/value. bounds: [-1, 2]
[info]   /jointset/joint_segment_1/joint_segment_1_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/ground_pelvis/pelvis_tz/value. bounds: [-3, 3]
[info]   /jointset/ground_pelvis/pelvis_tx/speed. bounds: [-50, 50]
[info]   /jointset/ground_pelvis/pelvis_tx/value. bounds: [-5, 5]
[info]   /jointset/acromial_r/arm_add_r/value. bounds: [-2.0944, 1.5708]
[info]   /jointset/ground_pelvis/pelvis_rotation/speed. bounds: [-50, 50]
[info]   /jointset/hip_l/hip_rotation_l/speed. bounds: [-50, 50]
[info]   /jointset/ground_pelvis/pelvis_rotation/value. bounds: [-1.5708, 1.5708]
[info]   /forceset/glmax2_r/activation. bounds: [0.01, 1]
[info]   /jointset/ground_pelvis/pelvis_list/speed. bounds: [-50, 50]
[info]   /jointset/ground_pelvis/pelvis_list/value. bounds: [-1.5708, 1.5708]
[info]   /jointset/joint_segment_11/joint_segment_11_coord_0/value. bounds: [-10, 10]
[info]   /jointset/ground_pelvis/pelvis_tilt/value. bounds: [-1.5708, 1.5708]
[info]   /forceset/vasmed_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/vaslat_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/vasint_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/iliacus_l/activation. bounds: [0.01, 1]
[info]   /forceset/tibpost_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/tibant_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/tfl_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/soleus_l/normalized_tendon_force. bounds: [0, 5]
[info]   /jointset/back/lumbar_extension/speed. bounds: [-50, 50]
[info]   /forceset/semiten_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/semimem_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/perlong_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/perbrev_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/glmin3_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/gasmed_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/fhl_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/fdl_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/ehl_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/recfem_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/edl_l/normalized_tendon_force. bounds: [0, 5]
[info]   /jointset/radioulnar_l/pro_sup_l/speed. bounds: [-50, 50]
[info]   /forceset/bflh_l/normalized_tendon_force. bounds: [0, 5]
[info]   /jointset/back/lumbar_extension/value. bounds: [-1.5708, 1.5708]
[info]   /forceset/addmagIsch_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/addlong_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/vasmed_r/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/vaslat_r/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/semimem_l/activation. bounds: [0.01, 1]
[info]   /forceset/vasint_r/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/sart_l/activation. bounds: [0.01, 1]
[info]   /forceset/tfl_r/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/semiten_r/normalized_tendon_force. bounds: [0, 5]
[info]   /jointset/joint_segment_8/joint_segment_8_coord_0/value. bounds: [-10, 10]
[info]   /forceset/semimem_r/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/recfem_r/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/piri_r/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/glmin3_r/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/bflh_r/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/addmagIsch_r/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/addlong_r/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/tfl_r/activation. bounds: [0.01, 1]
[info]   /forceset/viscoelastic_segment_20/dissipated_energy. bounds: [0, inf]
[info]   /forceset/viscoelastic_segment_19/dissipated_energy. bounds: [0, inf]
[info]   /forceset/glmin1_r/activation. bounds: [0.01, 1]
[info]   /forceset/viscoelastic_segment_18/dissipated_energy. bounds: [0, inf]
[info]   /forceset/viscoelastic_segment_17/dissipated_energy. bounds: [0, inf]
[info]   /forceset/tfl_l/activation. bounds: [0.01, 1]
[info]   /forceset/viscoelastic_segment_16/dissipated_energy. bounds: [0, inf]
[info]   /jointset/joint_segment_17/joint_segment_17_coord_0/value. bounds: [-10, 10]
[info]   /forceset/viscoelastic_segment_15/dissipated_energy. bounds: [0, inf]
[info]   /forceset/viscoelastic_segment_14/dissipated_energy. bounds: [0, inf]
[info]   /forceset/gasmed_l/activation. bounds: [0.01, 1]
[info]   /jointset/joint_segment_20/joint_segment_20_coord_0/speed. bounds: [-50, 50]
[info]   /forceset/viscoelastic_segment_13/dissipated_energy. bounds: [0, inf]
[info]   /forceset/vaslat_l/activation. bounds: [0.01, 1]
[info]   /jointset/joint_segment_19/joint_segment_19_coord_0/value. bounds: [-10, 10]
[info]   /forceset/viscoelastic_segment_12/dissipated_energy. bounds: [0, inf]
[info]   /jointset/joint_segment_9/joint_segment_9_coord_0/speed. bounds: [-50, 50]
[info]   /jointset/patellofemoral_r/knee_angle_r_beta/speed. bounds: [-50, 50]
[info]   /forceset/viscoelastic_segment_11/dissipated_energy. bounds: [0, inf]
[info]   /forceset/viscoelastic_segment_10/dissipated_energy. bounds: [0, inf]
[info]   /jointset/ground_pelvis/pelvis_tilt/speed. bounds: [-50, 50]
[info]   /forceset/viscoelastic_segment_9/dissipated_energy. bounds: [0, inf]
[info]   /forceset/viscoelastic_segment_8/dissipated_energy. bounds: [0, inf]
[info]   /forceset/viscoelastic_segment_7/dissipated_energy. bounds: [0, inf]
[info]   /forceset/gaslat_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/viscoelastic_segment_6/dissipated_energy. bounds: [0, inf]
[info]   /forceset/gaslat_l/activation. bounds: [0.01, 1]
[info]   /forceset/piri_l/normalized_tendon_force. bounds: [0, 5]
[info]   /forceset/viscoelastic_segment_5/dissipated_energy. bounds: [0, inf]
[info]   /forceset/viscoelastic_segment_4/dissipated_energy. bounds: [0, inf]
[info]   /forceset/viscoelastic_segment_3/dissipated_energy. bounds: [0, inf]
[info]   /forceset/viscoelastic_segment_2/dissipated_energy. bounds: [0, inf]
[info]   /forceset/viscoelastic_segment_1/dissipated_energy. bounds: [0, inf]
[info] Controls: (total: 82)
[info]   /forceset/vasmed_l. bounds: [0.01, 1]
[info]   /forceset/vaslat_l. bounds: [0.01, 1]
[info]   /forceset/tibpost_l. bounds: [0.01, 1]
[info]   /forceset/tfl_l. bounds: [0.01, 1]
[info]   /forceset/semiten_l. bounds: [0.01, 1]
[info]   /forceset/semimem_l. bounds: [0.01, 1]
[info]   /forceset/sart_l. bounds: [0.01, 1]
[info]   /forceset/recfem_l. bounds: [0.01, 1]
[info]   /forceset/perbrev_l. bounds: [0.01, 1]
[info]   /forceset/iliacus_l. bounds: [0.01, 1]
[info]   /forceset/glmin3_l. bounds: [0.01, 1]
[info]   /forceset/glmin2_l. bounds: [0.01, 1]
[info]   /forceset/glmin1_l. bounds: [0.01, 1]
[info]   /forceset/glmed3_l. bounds: [0.01, 1]
[info]   /forceset/glmed2_l. bounds: [0.01, 1]
[info]   /forceset/glmed1_l. bounds: [0.01, 1]
[info]   /forceset/glmax2_l. bounds: [0.01, 1]
[info]   /forceset/glmax1_l. bounds: [0.01, 1]
[info]   /forceset/gaslat_l. bounds: [0.01, 1]
[info]   /forceset/fhl_l. bounds: [0.01, 1]
[info]   /forceset/psoas_l. bounds: [0.01, 1]
[info]   /forceset/perlong_l. bounds: [0.01, 1]
[info]   /forceset/fdl_l. bounds: [0.01, 1]
[info]   /forceset/ehl_l. bounds: [0.01, 1]
[info]   /forceset/edl_l. bounds: [0.01, 1]
[info]   /forceset/bfsh_l. bounds: [0.01, 1]
[info]   /forceset/grac_l. bounds: [0.01, 1]
[info]   /forceset/bflh_l. bounds: [0.01, 1]
[info]   /forceset/addmagProx_l. bounds: [0.01, 1]
[info]   /forceset/addmagMid_l. bounds: [0.01, 1]
[info]   /forceset/addlong_l. bounds: [0.01, 1]
[info]   /forceset/addbrev_l. bounds: [0.01, 1]
[info]   /forceset/vasmed_r. bounds: [0.01, 1]
[info]   /forceset/vaslat_r. bounds: [0.01, 1]
[info]   /forceset/tfl_r. bounds: [0.01, 1]
[info]   /forceset/piri_l. bounds: [0.01, 1]
[info]   /forceset/semimem_r. bounds: [0.01, 1]
[info]   /forceset/sart_r. bounds: [0.01, 1]
[info]   /forceset/glmax3_l. bounds: [0.01, 1]
[info]   /forceset/recfem_r. bounds: [0.01, 1]
[info]   /forceset/psoas_r. bounds: [0.01, 1]
[info]   /forceset/piri_r. bounds: [0.01, 1]
[info]   /forceset/iliacus_r. bounds: [0.01, 1]
[info]   /forceset/glmin3_r. bounds: [0.01, 1]
[info]   /forceset/glmin2_r. bounds: [0.01, 1]
[info]   /forceset/gasmed_l. bounds: [0.01, 1]
[info]   /forceset/glmin1_r. bounds: [0.01, 1]
[info]   /forceset/glmed1_r. bounds: [0.01, 1]
[info]   /forceset/glmed2_r. bounds: [0.01, 1]
[info]   /forceset/glmax1_r. bounds: [0.01, 1]
[info]   /forceset/bfsh_r. bounds: [0.01, 1]
[info]   /forceset/grac_r. bounds: [0.01, 1]
[info]   /forceset/glmed3_r. bounds: [0.01, 1]
[info]   /forceset/bflh_r. bounds: [0.01, 1]
[info]   /forceset/addmagMid_r. bounds: [0.01, 1]
[info]   /forceset/addmagIsch_r. bounds: [0.01, 1]
[info]   /forceset/semiten_r. bounds: [0.01, 1]
[info]   /forceset/addmagDist_r. bounds: [0.01, 1]
[info]   /forceset/addlong_r. bounds: [0.01, 1]
[info]   /forceset/pro_sup_l. bounds: [-inf, inf]
[info]   /forceset/addmagDist_l. bounds: [0.01, 1]
[info]   /forceset/elbow_flex_l. bounds: [-inf, inf]
[info]   /forceset/shoulder_rot_l. bounds: [-inf, inf]
[info]   /forceset/tibant_l. bounds: [0.01, 1]
[info]   /forceset/shoulder_add_l. bounds: [-inf, inf]
[info]   /forceset/shoulder_flex_l. bounds: [-inf, inf]
[info]   /forceset/addmagIsch_l. bounds: [0.01, 1]
[info]   /forceset/pro_sup_r. bounds: [-inf, inf]
[info]   /forceset/elbow_flex_r. bounds: [-inf, inf]
[info]   /forceset/soleus_l. bounds: [0.01, 1]
[info]   /forceset/shoulder_rot_r. bounds: [-inf, inf]
[info]   /forceset/vasint_l. bounds: [0.01, 1]
[info]   /forceset/vasint_r. bounds: [0.01, 1]
[info]   /forceset/shoulder_add_r. bounds: [-inf, inf]
[info]   /forceset/addbrev_r. bounds: [0.01, 1]
[info]   /forceset/shoulder_flex_r. bounds: [-inf, inf]
[info]   /forceset/lumbar_rot. bounds: [-inf, inf]
[info]   /forceset/glmax3_r. bounds: [0.01, 1]
[info]   /forceset/lumbar_bend. bounds: [-inf, inf]
[info]   /forceset/glmax2_r. bounds: [0.01, 1]
[info]   /forceset/addmagProx_r. bounds: [0.01, 1]
[info]   /forceset/lumbar_ext. bounds: [-inf, inf]
